h3,tipo,agricultura_med_grandes_patrones,ganaderia_med_grandes_patrones,ganaderia_peq_patrones,ganaderia_sin_asal,agricultura_peq_patrones,agricultura_sin_asal,forestal_peq_patrones,mixta_sin_asal,mixta_med_grandes_patrones,mixta_peq_patrones,forestal_med_grandes_patrones,total,n_sin_asal,n_peq_patr,n_myg_patr,n_agric,n_ganaderia,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia
87a945141ffffff,NAF,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,1,0,0,0,1
87a945142ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945143ffffff,NAF,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,1,0,0,0,1
87a945145ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a945148ffffff,NAF,0,0,0,8,0,0,0,0,0,0,0,8,8,0,0,0,8,1,0,0,0,1
87a94514dffffff,Estab. OEDE,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,1,0,0,1
87a94514dffffff,NAF,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0
87a945153ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a94515cffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a945161ffffff,NAF,0,0,0,6,0,1,0,0,0,0,0,7,7,0,0,1,6,1,0,0,0.14285714285714285,0.8571428571428571
87a945162ffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a945163ffffff,Estab. OEDE,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a945163ffffff,NAF,0,0,0,1,0,7,0,0,0,0,0,8,8,0,0,7,1,1,0,0,0.875,0.125
87a945164ffffff,NAF,0,0,0,2,0,2,0,1,0,0,0,5,5,0,0,2,2,1,0,0,0.4,0.4
87a945165ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a94516bffffff,NAF,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,1,0,0,0,1
87a94516dffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94516effffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945171ffffff,NAF,0,0,2,5,0,0,0,0,0,0,0,7,5,2,0,0,7,0.7142857142857143,0.2857142857142857,0,0,1
87a945172ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945173ffffff,NAF,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,1,0,0,0,1
87a945180ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945181ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945195ffffff,NAF,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,2,0.5,0.5,0,0,1
87a9451b3ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945349ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94534bffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
